Date,SPY,rv
1999-01-05,0.011365498297588594,7.914484374999999e-05
1999-01-06,0.023822815387146257,7.273988928571429e-05
1999-01-07,-0.004916804209447179,7.700305000396826e-05
1999-01-08,0.007365270552270431,0.00013914012501587303
1999-01-11,-0.009585500324397422,0.00012898747889285715
1999-01-12,-0.018194134483403346,0.00013402083581349206
1999-01-13,-0.007066768723861472,0.0004244693700357143
1999-01-14,-0.017632134650276576,0.00031607520089285717
1999-01-15,0.025704530277703697,8.222743889285713e-05
1999-01-19,0.006511266656915815,0.00012451254958730157
1999-01-20,0.007956947331821063,0.0002329272229206349
1999-01-21,-0.02685610084784873,0.00026586565714285717
1999-01-22,-0.0022925358002119367,0.00023699817244444442
1999-01-25,0.01014789809415273,0.00015130480458730157
1999-01-26,0.018009275748595677,6.388911506349206e-05
1999-01-27,-0.011719528066437945,0.00013290738134920634
1999-01-28,0.01666503561227195,7.067342543253967e-05
1999-01-29,0.007617364630993606,0.0001905387524801587
1999-02-01,-0.005892189520712243,0.00013297420292063492
1999-02-02,-0.006175260075142575,0.0001795019200634921
1999-02-03,0.010107336405074108,0.00015263116825396824
1999-02-04,-0.015074666566014194,0.0002039850223214286
1999-02-05,-0.011520321931766553,0.00017238484375
1999-02-08,0.0020129859497526326,9.768892857142859e-05
1999-02-09,-0.022626925415005772,0.00022029535009920634
1999-02-10,0.006407632259564977,0.0001526031523968254
1999-02-11,0.022734402054893188,9.693825244444443e-05
1999-02-12,-0.012060722537294843,0.00023107156143253968
1999-02-16,-0.006085794529131938,0.00011121870067063493
1999-02-17,-0.0010172196694604452,0.00018018958048015874
1999-02-18,0.007860945350022241,0.00017626226800000001
1999-02-19,0.00428454796140354,8.859182958730158e-05
1999-02-22,0.026310989963440612,0.0001364720662857143
1999-02-23,-0.0004902177838692623,0.00019585696128571428
1999-02-24,-0.01780441438047653,0.000173390385015873
1999-02-25,-0.0095262092238384,0.0003182313912539682
1999-02-26,-0.004038462939615073,0.00023156018292063492
1999-03-01,0.0027781028016695686,0.00014094863581349206
1999-03-02,-0.008866493312003065,0.00013714846289285715
1999-03-03,0.005329402545313222,0.000154564207
1999-03-04,0.012575458898589353,0.00014057195781349205
1999-03-05,0.0199202777600318,9.696802539682539e-05
1999-03-08,0.006472200539259454,8.425854228571429e-05
1999-03-09,-0.0024378526971657877,0.0001543058700357143
1999-03-10,0.008746497284978005,5.678912057142857e-05
1999-03-11,0.011065913396392624,0.00014372936200396827
1999-03-12,-0.009615728527986533,0.00012829586209920634
1999-03-15,0.014150763403103284,7.427262889285713e-05
1999-03-16,-0.0038177980117675148,4.884353625396825e-05
1999-03-17,-0.004312366460360373,6.982338057142856e-05
1999-03-18,0.015958563958574423,6.084475506349207e-05
1999-03-19,-0.01714359284954714,0.0001227921605714286
1999-03-22,0.0019253774796244016,5.879462414285714e-05
1999-03-23,-0.02928486167947142,0.00025866550286111114
1999-03-24,0.005679978934144181,0.00011450451358730158
1999-03-25,0.02023231312701057,5.920106414285715e-05
1999-03-26,-0.007265102833248882,8.168225333730157e-05
1999-03-29,0.019973867953601676,5.832317574999999e-05
1999-03-30,-0.005255960219679778,7.216508458730158e-05
1999-03-31,-0.016177396476762418,0.0001416135328611111
1999-04-01,0.007517400586079859,8.825655432142855e-05
1999-04-05,0.023401196790026724,6.199404801587302e-05
1999-04-06,-0.002363025908230121,0.0001194891772857143
1999-04-07,0.008011301165451457,0.0001380218412857143
1999-04-08,0.01259390655087067,0.00013537483889285715
1999-04-09,0.00023172126353898648,9.628687658730159e-05
1999-04-12,0.010601547715009652,0.00011510523003571428
1999-04-13,-0.006440166216961529,0.00011439938134920634
1999-04-14,-0.01698700931245778,0.00015175145601587303
1999-04-15,-0.0037620304965058082,0.00016902358209920637
1999-04-16,-0.008516491186320252,0.00017946478668253967
1999-04-19,-0.015563759374412456,0.00033756867289285716
1999-04-20,0.012469920618539021,0.000265559656670635
1999-04-21,0.028197988253109152,0.0001585000834325397
1999-04-22,0.009454546245567741,0.00011713078581349209
1999-04-23,-0.0025282037448608463,0.00013083127232142854
1999-04-26,0.00573625091138652,6.733821728571427e-05
1999-04-27,0.004793207988084802,0.00012713119889285718
1999-04-28,-0.01375590175374608,0.000109494175
1999-04-29,-0.007646751816115405,0.00013752348381349205
1999-04-30,-0.008174605494072118,0.00023744836292063494
1999-05-03,0.018126817769189785,0.0001165724048611111
1999-05-04,-0.014381700925419239,0.00011015830067063494
1999-05-05,0.007912755052367437,0.00019589928014285716
1999-05-06,-0.006161738461091915,0.00025754214101587295
1999-05-07,0.007551762117392613,0.00013269250414285716
1999-05-10,-0.004989647094897798,0.000131002816015873
