Date,XLF,rv
1999-01-05,0.009289587944766975,0.00010090021334920634
1999-01-06,0.03121269581408459,9.954937209920635e-05
1999-01-07,0.015247507077782885,0.00026909860032142853
1999-01-08,0.006285491629260509,9.632149525396824e-05
1999-01-11,-0.015151719479969294,0.0006899662160357142
1999-01-12,-0.028389316915884866,0.00021074103809920632
1999-01-13,-0.013175087246369177,0.0007280148241428571
1999-01-14,-0.025522153708824824,0.0003418529605714285
1999-01-15,0.028170746984585993,0.00012164725157142856
1999-01-19,-0.005303970763966159,0.0006405074743492063
1999-01-20,0.007286358822412353,0.00015068554744444447
1999-01-21,-0.01798239187073314,0.00014491598333730158
1999-01-22,-0.00674298411352936,2.495501770321429e-07
1999-01-25,0.008085789378549535,5.8933817285714284e-05
1999-01-26,0.0006711045291147855,0.00010163302101587304
1999-01-27,-0.012824821330415848,0.00012438465089285714
1999-01-28,0.014834934579583958,0.00018287498781349208
1999-01-29,0.021193085878622675,0.00045202232152777777
1999-02-01,-0.01718485720907159,0.0005793485112539682
1999-02-02,-0.010724210798914946,1.1205159453373016e-05
1999-02-03,0.007384788353638427,0.0002426052323968254
1999-02-04,-0.023689664546341138,0.00010789564067063493
1999-02-05,-0.008252881931315237,6.742095125396824e-05
1999-02-08,-0.002766252535861824,0.00026841494477777774
1999-02-09,-0.013947310442589789,0.000116075074765873
1999-02-10,0.00839156834084065,6.375424406349205e-07
1999-02-11,0.03959573489099277,0.000576746528670635
1999-02-12,-0.014834934579583958,5.801568876587302e-05
1999-02-16,0.014834934579583958,0.00010845910448015874
1999-02-17,0.004008228669551084,0.0005134060907301588
1999-02-18,0.009950140157878984,8.869352807777778e-06
1999-02-19,0.0032947508875942333,0.0003157437854325397
1999-02-22,0.028536302635338906,0.00014890764432142856
1999-02-23,0.01270657029370037,2.671058343214286e-08
1999-02-24,-0.03337913775781498,0.00036726355889285723
1999-02-25,-0.006548276685580667,0.00030642004032142855
1999-02-26,0.01822933612228761,0.00014515571448015874
1999-03-01,0.003864015874394333,0.00020479916400396823
1999-03-02,0.002566992384501088,0.0004830520500357143
1999-03-03,-0.009661319360692922,0.0007877748334325395
1999-03-04,0.022400259893263108,0.000167769601015873
1999-03-05,0.025001369634552795,0.0002451847133373016
1999-03-08,-0.00681356955207546,3.069845897285714e-05
1999-03-09,0.00804756819552388,0.0002211769817301587
1999-03-10,0.018326215414254943,9.163429206349208e-05
1999-03-11,0.0048309265399684165,0.00014737420781349206
1999-03-12,0.001805578769185967,2.8080724765873014e-05
1999-03-15,0.003002347015804041,1.1079541523968254e-05
1999-03-16,-0.01449300182958524,0.00019129600634920635
1999-03-17,-0.008552240184392712,0.0001462948572857143
1999-03-18,0.02304524201397795,0.0006803597315714285
1999-03-19,-0.019168190121369832,0.00018774738173015873
1999-03-22,0.0024482174719895333,2.755504854765873e-05
1999-03-23,-0.034829485722915,0.0001681255379206349
1999-03-24,-0.002534466882501807,5.585596467301587e-06
1999-03-25,0.02258555091672898,4.3951899063492064e-05
1999-03-26,-0.008722974547859863,1.6351434565714288e-05
